moviename,datereleased,genere,rating
The Shawshank Redemption,1994,Drama,80
The Godfather,1972,"Crime, Drama",100
The Dark Knight,2008,"Action, Crime, Drama",84
The Godfather: Part II,1974,"Crime, Drama",90
12 Angry Men,1957,"Crime, Drama",96
The Lord of the Rings: The Return of the King,2003,"Action, Adventure, Drama",94
Pulp Fiction,1994,"Crime, Drama",94
Schindler's List,1993,"Biography, Drama, History",94
Inception,2010,"Action, Adventure, Sci-Fi",74
Fight Club,1999,Drama,66
The Lord of the Rings: The Fellowship of the Ring,2001,"Action, Adventure, Drama",92
Forrest Gump,1994,"Drama, Romance",82
"Il buono, il brutto, il cattivo",1966,Western,90
The Lord of the Rings: The Two Towers,2002,"Action, Adventure, Drama",87
The Matrix,1999,"Action, Sci-Fi",73
Goodfellas,1990,"Biography, Crime, Drama",90
Star Wars: Episode V - The Empire Strikes Back,1980,"Action, Adventure, Fantasy",82
One Flew Over the Cuckoo's Nest,1975,Drama,83
Hamilton,2020,"Biography, Drama, History",90
Gisaengchung,2019,"Comedy, Drama, Thriller",96
Soorarai Pottru,2020,Drama,
Interstellar,2014,"Adventure, Drama, Sci-Fi",74
Cidade de Deus,2002,"Crime, Drama",79
Sen to Chihiro no kamikakushi,2001,"Animation, Adventure, Family",96
Saving Private Ryan,1998,"Drama, War",91
The Green Mile,1999,"Crime, Drama, Fantasy",61
La vita è bella,1997,"Comedy, Drama, Romance",59
Se7en,1995,"Crime, Drama, Mystery",65
The Silence of the Lambs,1991,"Crime, Drama, Thriller",85
Star Wars,1977,"Action, Adventure, Fantasy",90
Seppuku,1962,"Action, Drama, Mystery",85
Shichinin no samurai,1954,"Action, Adventure, Drama",98
It's a Wonderful Life,1946,"Drama, Family, Fantasy",89
Joker,2019,"Crime, Drama, Thriller",59
Whiplash,2014,"Drama, Music",88
The Intouchables,2011,"Biography, Comedy, Drama",57
The Prestige,2006,"Drama, Mystery, Sci-Fi",66
The Departed,2006,"Crime, Drama, Thriller",85
The Pianist,2002,"Biography, Drama, Music",85
Gladiator,2000,"Action, Adventure, Drama",67
American History X,1998,Drama,62
The Usual Suspects,1995,"Crime, Mystery, Thriller",77
Léon,1994,"Action, Crime, Drama",64
The Lion King,1994,"Animation, Adventure, Drama",88
Terminator 2: Judgment Day,1991,"Action, Sci-Fi",75
Nuovo Cinema Paradiso,1988,"Drama, Romance",80
Hotaru no haka,1988,"Animation, Drama, War",94
Back to the Future,1985,"Adventure, Comedy, Sci-Fi",87
Once Upon a Time in the West,1968,Western,80
Psycho,1960,"Horror, Mystery, Thriller",97
Casablanca,1942,"Drama, Romance, War",100
Modern Times,1936,"Comedy, Drama, Family",96
City Lights,1931,"Comedy, Drama, Romance",99
Capharnaüm,2018,Drama,75
Ayla: The Daughter of War,2017,"Biography, Drama, History",
Vikram Vedha,2017,"Action, Crime, Drama",
Kimi no na wa.,2016,"Animation, Drama, Fantasy",79
Dangal,2016,"Action, Biography, Drama",
Spider-Man: Into the Spider-Verse,2018,"Animation, Action, Adventure",87
Avengers: Endgame,2019,"Action, Adventure, Drama",78
Avengers: Infinity War,2018,"Action, Adventure, Sci-Fi",68
Coco,2017,"Animation, Adventure, Family",81
Django Unchained,2012,"Drama, Western",81
The Dark Knight Rises,2012,"Action, Adventure",78
3 Idiots,2009,"Comedy, Drama",67
Taare Zameen Par,2007,"Drama, Family",
WALL·E,2008,"Animation, Adventure, Family",95
The Lives of Others,2006,"Drama, Mystery, Thriller",89
Oldeuboi,2003,"Action, Drama, Mystery",77
Memento,2000,"Mystery, Thriller",80
Mononoke-hime,1997,"Animation, Action, Adventure",76
Once Upon a Time in America,1984,"Crime, Drama",
Raiders of the Lost Ark,1981,"Action, Adventure",85
The Shining,1980,"Drama, Horror",66
Apocalypse Now,1979,"Drama, Mystery, War",94
Alien,1979,"Horror, Sci-Fi",89
Anand,1971,"Drama, Musical",
Tengoku to jigoku,1963,"Crime, Drama, Mystery",
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Comedy,97
Witness for the Prosecution,1957,"Crime, Drama, Mystery",
Paths of Glory,1957,"Drama, War",90
Rear Window,1954,"Mystery, Thriller",100
Sunset Blvd.,1950,"Drama, Film-Noir",
The Great Dictator,1940,"Comedy, Drama, War",
1917,2019,"Drama, Thriller, War",78
Tumbbad,2018,"Drama, Fantasy, Horror",
Andhadhun,2018,"Crime, Drama, Music",
Drishyam,2013,"Crime, Drama, Thriller",
Jagten,2012,Drama,77
Jodaeiye Nader az Simin,2011,Drama,95
Incendies,2010,"Drama, Mystery, War",80
Miracle in cell NO.7,2019,Drama,
Babam ve Oglum,2005,"Drama, Family",
Inglourious Basterds,2009,"Adventure, Drama, War",69
Eternal Sunshine of the Spotless Mind,2004,"Drama, Romance, Sci-Fi",89
Amélie,2001,"Comedy, Romance",69
Snatch,2000,"Comedy, Crime",55
Requiem for a Dream,2000,Drama,68
American Beauty,1999,Drama,84
Good Will Hunting,1997,"Drama, Romance",70
Bacheha-Ye aseman,1997,"Drama, Family, Sport",77
Toy Story,1995,"Animation, Adventure, Comedy",95
Braveheart,1995,"Biography, Drama, History",68
Reservoir Dogs,1992,"Crime, Drama, Thriller",79
Full Metal Jacket,1987,"Drama, War",76
Idi i smotri,1985,"Drama, Thriller, War",
Aliens,1986,"Action, Adventure, Sci-Fi",84
Amadeus,1984,"Biography, Drama, History",88
Scarface,1983,"Crime, Drama",65
Star Wars: Episode VI - Return of the Jedi,1983,"Action, Adventure, Fantasy",58
Das Boot,1981,"Adventure, Drama, Thriller",86
Taxi Driver,1976,"Crime, Drama",94
The Sting,1973,"Comedy, Crime, Drama",83
A Clockwork Orange,1971,"Crime, Drama, Sci-Fi",77
2001: A Space Odyssey,1968,"Adventure, Sci-Fi",84
Per qualche dollaro in più,1965,Western,74
Lawrence of Arabia,1962,"Adventure, Biography, Drama",100
The Apartment,1960,"Comedy, Drama, Romance",94
North by Northwest,1959,"Adventure, Mystery, Thriller",98
Vertigo,1958,"Mystery, Romance, Thriller",100
Singin' in the Rain,1952,"Comedy, Musical, Romance",99
Ikiru,1952,Drama,
Ladri di biciclette,1948,Drama,
Double Indemnity,1944,"Crime, Drama, Film-Noir",95
Citizen Kane,1941,"Drama, Mystery",100
